species	location	sample_name	model	ncount_max	mt_percent	tumor_type	processed	sp_pattern	organism	data_type	method	data_source	unique	CL_or_PDX
patient	lung	SC072	clinicalOSA4	30000	10	metastatic	yes	nothing	human	three_prime	single_nucleus	NCH	patient_mets	patient
patient	lung	SC073	clinicalOSA5	50000	15	metastatic	yes	nothing	human	three_prime	single_nucleus	NCH	patient_mets	patient
patient	lung	SJOS001108_M1	SJOS001108_M1	5500	20	metastatic	yes	nothing	human	three_prime	single_nucleus	SJ	patient_mets	patient
patient	lung	SJOS001107_M2	SJOS001107_M2	20000	15	metastatic	yes	nothing	human	three_prime	single_nucleus	SJ	patient_mets	patient
patient	lung	SJOS001112_M2	SJOS001112_M2	2500	20	metastatic	yes	nothing	human	three_prime	single_nucleus	SJ	patient_mets	patient
patient	lung	SJOS001132_M1	SJOS001132_M1	2000	15	metastatic	yes	nothing	human	three_prime	single_nucleus	SJ	patient_mets	patient
patient	lung	SJOS001127_M1	SJOS001127_M1	2000	20	metastatic	yes	nothing	human	three_prime	single_nucleus	SJ	patient_mets	patient
patient	lung	SJOS001116_M2	SJOS001116_M2	3000	20	metastatic	yes	nothing	human	three_prime	single_nucleus	SJ	patient_mets	patient
patient	lung	SJOS013768_M1	SJOS013768_M1	1500	15	metastatic	yes	nothing	human	three_prime	single_nucleus	SJ	patient_mets	patient
patient	lung	SJOS063822_A1	SJOS063822_A1	1500	20	metastatic	yes	nothing	human	three_prime	single_nucleus	SJ	patient_mets	patient
patient	lung	SJOS030441_D1	SJOS030441_D1	1000	20	metastatic	yes	nothing	human	three_prime	single_nucleus	SJ	patient_mets	patient
patient	lung	SJOS030645_D2	SJOS030645_D2	2500	20	metastatic	yes	nothing	human	three_prime	single_nucleus	SJ	patient_mets	patient
patient	lung	SJOS030605_D2	SJOS030605_D2	1000	20	metastatic	yes	nothing	human	three_prime	single_nucleus	SJ	patient_mets	patient
patient	lung	SJOS063833_D1	SJOS063833_D1	1500	10	metastatic	yes	nothing	human	three_prime	single_nucleus	SJ	patient_mets	patient
patient	lung	SJOS001105_M1	SJOS001105_M1	10000	20	metastatic	yes	nothing	human	three_prime	single_nucleus	SJ	patient_mets	patient
patient	lung	CCDI0094_7977	CCDI0094_7977	50000	10	metastatic	yes	nothing	human	three_prime	single_nucleus	NCI_POB	patient_mets	patient
patient	lung	CCDI0095_7978	CCDI0095_7978	60000	15	metastatic	yes	nothing	human	three_prime	single_nucleus	NCI_POB	patient_mets	patient
patient	lung	CCDI0090_2318	CCDI0090_2318	60000	10	metastatic	yes	nothing	human	three_prime	single_nucleus	NCI_POB	patient_mets	patient
patient	lung	CCDI0048_5864	CCDI0048_5864	50000	10	metastatic	yes	nothing	human	three_prime	single_nucleus	NCI_POB	patient_mets	patient
patient	lung	CCDI0049_5899	CCDI0049_5899	50000	15	metastatic	yes	nothing	human	three_prime	single_nucleus	NCI_POB	patient_mets	patient
patient	lung	CCDI0050_5928	CCDI0050_5928	70000	20	metastatic	yes	nothing	human	three_prime	single_nucleus	NCI_POB	patient_mets	patient
patient	lung	CCDI0051_6547	CCDI0051_6547	70000	20	metastatic	yes	nothing	human	three_prime	single_nucleus	NCI_POB	patient_mets	patient
patient	lung	CCDI0091_3666	CCDI0091_3666	70000	10	metastatic	yes	nothing	human	three_prime	single_nucleus	NCI_POB	patient_mets	patient
patient	lung	CCDI0092_3911	CCDI0092_3911	50000	10	metastatic	yes	nothing	human	three_prime	single_nucleus	NCI_POB	patient_mets	patient
patient	lung	CCDI0093_6546	CCDI0093_6546	70000	15	metastatic	yes	nothing	human	three_prime	single_nucleus	NCI_POB	patient_mets	patient
patient	lung	CCDI0100_12416	CCDI0100_12416	60000	10	metastatic	yes	nothing	human	three_prime	single_nucleus	NCI_POB	patient_mets	patient
patient	lung	CCDI0096_8952	CCDI0096_8952	40000	15	metastatic	yes	nothing	human	three_prime	single_nucleus	NCI_POB	patient_mets	patient
patient	lung	CCDI0098_8951	CCDI0098_8951	25000	10	metastatic	yes	nothing	human	three_prime	single_nucleus	NCI_POB	patient_mets	patient
patient	lung	CCDI0097_8978	CCDI0097_8978	70000	10	metastatic	yes	nothing	human	three_prime	single_nucleus	NCI_POB	patient_mets	patient
patient	lung	CCDI0053_445	CCDI0053_445	100000	10	metastatic	yes	nothing	human	three_prime	single_nucleus	NCI_POB	patient_mets	patient
patient	lung	CCDI0057_16178	CCDI0057_16178	60000	15	metastatic	yes	nothing	human	three_prime	single_nucleus	NCI_POB	patient_mets	patient
patient	lung	CCDI0058_16183	CCDI0058_16183	60000	15	metastatic	yes	nothing	human	three_prime	single_nucleus	NCI_POB	patient_mets	patient
patient	lung	CCDI0101_16178b	CCDI0101_16178b	60000	20	metastatic	yes	nothing	human	three_prime	single_nucleus	NCI_POB	patient_mets	patient
patient	lung	CCDI0102_16183b	CCDI0102_16183b	50000	20	metastatic	yes	nothing	human	three_prime	single_nucleus	NCI_POB	patient_mets	patient
xenograft	tibia	S0034	NCHOS7	50000	20	primary	yes	^GRCh38-	human	three_prime	single_cell	NCH	xeno_prim_human	xenograft_PDX
xenograft	tibia	S0042	NCHOS2	45000	20	primary	yes	^GRCh38-	human	three_prime	single_cell	NCH	xeno_prim_human	xenograft_PDX
xenograft	tibia	S0170	NCHOS4	35000	20	primary	yes	^GRCh38-	human	three_prime	single_nucleus	NCH	xeno_prim_human	xenograft_PDX
xenograft	tibia	S0169	NCHOS7	20000	20	primary	yes	^GRCh38-	human	three_prime	single_nucleus	NCH	xeno_prim_human	xenograft_PDX
xenograft	femur	SJOS010929_X1	SJOS010929_X1	7000	20	primary	yes	^GRCh38-	human	three_prime	single_nucleus	SJ	xeno_prim_human	xenograft_PDX
xenograft	tibia	SJOS013769_X1	SJOS013769_X1	15000	10	primary	yes	^GRCh38-	human	three_prime	single_nucleus	SJ	xeno_prim_human	xenograft_PDX
xenograft	femur	SJOS030101_X1	SJOS030101_X1	15000	15	primary	yes	^GRCh38-	human	three_prime	single_nucleus	SJ	xeno_prim_human	xenograft_PDX
xenograft	femur	SJOS030279_X1	SJOS030279_X1	15000	15	primary	yes	^GRCh38-	human	three_prime	single_nucleus	SJ	xeno_prim_human	xenograft_PDX
xenograft	femur	SJOS063824_X1	SJOS063824_X1	1000	10	primary	yes	^GRCh38-	human	three_prime	single_nucleus	SJ	xeno_prim_human	xenograft_PDX
xenograft	femur	SJOS016015_X1	SJOS016015_X1	5000	15	primary	yes	^GRCh38-	human	three_prime	single_nucleus	SJ	xeno_prim_human	xenograft_PDX
xenograft	femur	SJOS012409_X1	SJOS012409_X1	5000	20	primary	yes	^GRCh38-	human	three_prime	single_nucleus	SJ	xeno_prim_human	xenograft_PDX
xenograft	femur	SJOS013768_X1	SJOS013768_X1	2000	20	primary	yes	^GRCh38-	human	three_prime	single_nucleus	SJ	xeno_prim_human	xenograft_PDX
xenograft	tibia	SJOS016016_X1	SJOS016016_X1	600	5	primary	yes	^GRCh38-	human	three_prime	single_nucleus	SJ	xeno_prim_human	xenograft_PDX
xenograft	femur	SJOS063819_X1	SJOS063819_X1	6000	20	primary	yes	^GRCh38-	human	three_prime	single_nucleus	SJ	xeno_prim_human	xenograft_PDX
xenograft	femur	SJOS030272_X1	SJOS030272_X1	600	20	primary	yes	^GRCh38-	human	three_prime	single_nucleus	SJ	xeno_prim_human	xenograft_PDX
xenograft	femur	SJOS063833_X2	SJOS063833_X2	7000	20	primary	yes	^GRCh38-	human	three_prime	single_nucleus	SJ	xeno_prim_human	xenograft_PDX
xenograft	lung	S0041	NCHOS2	4000	20	metastatic	yes	^GRCh38-	human	three_prime	single_cell	NCH	xeno_mets_human	xenograft_PDX
xenograft	lung	S0055	NCHOS7	50000	20	metastatic	yes	^GRCh38-	human	three_prime	single_cell	NCH	xeno_mets_human	xenograft_PDX
xenograft	lung	S0254	NCHOS4	75000	20	metastatic	yes	^GRCh38-	human	three_prime	single_cell	NCH	xeno_mets_human	xenograft_PDX
xenograft	lung	SJOS003939_X2_sc	SJOS003939_X2_sc	40000	15	metastatic	yes	^GRCh38-	human	three_prime	single_cell	SJ	xeno_mets_human	xenograft_PDX
xenograft	lung	SJOS003939_X2_sn	SJOS003939_X2_sn	2500	10	metastatic	yes	^GRCh38-	human	three_prime	single_nucleus	SJ	xeno_mets_human	xenograft_PDX
xenograft	lung	SJOS001112_X1	SJOS001112_X1	9000	15	metastatic	yes	^GRCh38-	human	three_prime	single_nucleus	SJ	xeno_mets_human	xenograft_PDX
xenograft	lung	SJOS013768_X3	SJOS013768_X3	600	15	metastatic	yes	^GRCh38-	human	three_prime	single_nucleus	SJ	xeno_mets_human	xenograft_PDX
xenograft	lung	SJOS001108_X1	SJOS001108_X1	8000	20	metastatic	yes	^GRCh38-	human	three_prime	single_nucleus	SJ	xeno_mets_human	xenograft_PDX
xenograft	lung	SJOS030441_X1	SJOS030441_X1	2000	15	metastatic	yes	^GRCh38-	human	three_prime	single_nucleus	SJ	xeno_mets_human	xenograft_PDX
xenograft	lung	SJOS063833_X1	SJOS063833_X1	6000	20	metastatic	pending	^GRCh38-	human	three_prime	single_nucleus	SJ	xeno_mets_human	xenograft_PDX
xenograft	lung	SJOS001107_X3	SJOS001107_X3	3000	20	metastatic	pending	^GRCh38-	human	three_prime	single_nucleus	SJ	xeno_mets_human	xenograft_PDX
xenograft	lung	SJOS001116_X2	SJOS001116_X2	3000	10	metastatic	pending	^GRCh38-	human	three_prime	single_nucleus	SJ	xeno_mets_human	xenograft_PDX
xenograft	lung	SJOS030605_X2	SJOS030605_X2	1000	15	metastatic	pending	^GRCh38-	human	three_prime	single_nucleus	SJ	xeno_mets_human	xenograft_PDX
xenograft	lung	SJOS001132_X1	SJOS001132_X1	3000	15	metastatic	pending	^GRCh38-	human	three_prime	single_nucleus	SJ	xeno_mets_human	xenograft_PDX
xenograft	tibia	S0034	NCHOS7	2000	20	primary	yes	^mm10---	mouse	three_prime	single_cell	NCH	xeno_prim_mouse	xenograft_PDX
xenograft	tibia	S0042	NCHOS2	1000	20	primary	yes	^mm10---	mouse	three_prime	single_cell	NCH	xeno_prim_mouse	xenograft_PDX
xenograft	tibia	S0170	NCHOS4	5000	20	primary	yes	^mm10---	mouse	three_prime	single_nucleus	NCH	xeno_prim_mouse	xenograft_PDX
xenograft	tibia	S0169	NCHOS7	30000	20	primary	yes	^mm10---	mouse	three_prime	single_nucleus	NCH	xeno_prim_mouse	xenograft_PDX
xenograft	femur	SJOS010929_X1	SJOS010929_X1	2500	10	primary	yes	^mm10---	mouse	three_prime	single_nucleus	SJ	xeno_prim_mouse	xenograft_PDX
xenograft	tibia	SJOS013769_X1	SJOS013769_X1	2500	10	primary	yes	^mm10---	mouse	three_prime	single_nucleus	SJ	xeno_prim_mouse	xenograft_PDX
xenograft	femur	SJOS030101_X1	SJOS030101_X1	3000	10	primary	yes	^mm10---	mouse	three_prime	single_nucleus	SJ	xeno_prim_mouse	xenograft_PDX
xenograft	femur	SJOS030279_X1	SJOS030279_X1	3500	10	primary	yes	^mm10---	mouse	three_prime	single_nucleus	SJ	xeno_prim_mouse	xenograft_PDX
xenograft	femur	SJOS063824_X1	SJOS063824_X1	2000	20	primary	yes	^mm10---	mouse	three_prime	single_nucleus	SJ	xeno_prim_mouse	xenograft_PDX
xenograft	femur	SJOS016015_X1	SJOS016015_X1	1500	10	primary	yes	^mm10---	mouse	three_prime	single_nucleus	SJ	xeno_prim_mouse	xenograft_PDX
xenograft	femur	SJOS012409_X1	SJOS012409_X1	1500	10	primary	yes	^mm10---	mouse	three_prime	single_nucleus	SJ	xeno_prim_mouse	xenograft_PDX
xenograft	femur	SJOS013768_X1	SJOS013768_X1	1000	10	primary	yes	^mm10---	mouse	three_prime	single_nucleus	SJ	xeno_prim_mouse	xenograft_PDX
xenograft	tibia	SJOS016016_X1	SJOS016016_X1	1000	15	primary	yes	^mm10---	mouse	three_prime	single_nucleus	SJ	xeno_prim_mouse	xenograft_PDX
xenograft	femur	SJOS063819_X1	SJOS063819_X1	1000	10	primary	yes	^mm10---	mouse	three_prime	single_nucleus	SJ	xeno_prim_mouse	xenograft_PDX
xenograft	femur	SJOS030272_X1	SJOS030272_X1	600	10	primary	pending	^mm10---	mouse	three_prime	single_nucleus	SJ	xeno_prim_mouse	xenograft_PDX
xenograft	femur	SJOS063833_X2	SJOS063833_X2	1000	10	primary	pending	^mm10---	mouse	three_prime	single_nucleus	SJ	xeno_prim_mouse	xenograft_PDX
xenograft	lung	S0041	NCHOS2	20000	20	metastatic	yes	^mm10---	mouse	three_prime	single_cell	NCH	xeno_mets_mouse	xenograft_PDX
xenograft	lung	S0055	NCHOS7	10000	20	metastatic	yes	^mm10---	mouse	three_prime	single_cell	NCH	xeno_mets_mouse	xenograft_PDX
xenograft	lung	S0254	NCHOS4	15000	15	metastatic	yes	^mm10---	mouse	three_prime	single_cell	NCH	xeno_mets_mouse	xenograft_PDX
xenograft	lung	SJOS003939_X2_sc	SJOS003939_X2_sc	600	15	metastatic	yes	^mm10---	mouse	three_prime	single_cell	SJ	xeno_mets_mouse	xenograft_PDX
xenograft	lung	SJOS003939_X2_sn	SJOS003939_X2_sn	1000	15	metastatic	yes	^mm10---	mouse	three_prime	single_nucleus	SJ	xeno_mets_mouse	xenograft_PDX
xenograft	lung	SJOS001112_X1	SJOS001112_X1	1500	20	metastatic	yes	^mm10---	mouse	three_prime	single_nucleus	SJ	xeno_mets_mouse	xenograft_PDX
xenograft	lung	SJOS013768_X3	SJOS013768_X3	600	20	metastatic	yes	^mm10---	mouse	three_prime	single_nucleus	SJ	xeno_mets_mouse	xenograft_PDX
xenograft	lung	SJOS001108_X1	SJOS001108_X1	600	20	metastatic	yes	^mm10---	mouse	three_prime	single_nucleus	SJ	xeno_mets_mouse	xenograft_PDX
xenograft	lung	SJOS030441_X1	SJOS030441_X1	1000	15	metastatic	yes	^mm10---	mouse	three_prime	single_nucleus	SJ	xeno_mets_mouse	xenograft_PDX
xenograft	lung	SJOS063833_X1	SJOS063833_X1	1000	15	metastatic	pending	^mm10---	mouse	three_prime	single_nucleus	SJ	xeno_mets_mouse	xenograft_PDX
xenograft	lung	SJOS001107_X3	SJOS001107_X3	1000	10	metastatic	pending	^mm10---	mouse	three_prime	single_nucleus	SJ	xeno_mets_mouse	xenograft_PDX
xenograft	lung	SJOS001116_X2	SJOS001116_X2	1000	10	metastatic	pending	^mm10---	mouse	three_prime	single_nucleus	SJ	xeno_mets_mouse	xenograft_PDX
xenograft	lung	SJOS030605_X2	SJOS030605_X2	1000	10	metastatic	pending	^mm10---	mouse	three_prime	single_nucleus	SJ	xeno_mets_mouse	xenograft_PDX
xenograft	lung	SJOS001132_X1	SJOS001132_X1	2000	15	metastatic	pending	^mm10---	mouse	three_prime	single_nucleus	SJ	xeno_mets_mouse	xenograft_PDX
mousemodel	cc_tumor	S0200	F420	70000	15	primary	yes	nothing	mouse	three_prime	single_cell	NCH	mm_prim	mousemodel_CL
mousemodel	cc_tumor	S0201	K7M2	70000	15	primary	yes	nothing	mouse	three_prime	single_cell	NCH	mm_prim	mousemodel_CL
mousemodel	tibia	S0104	F420	40000	20	primary	yes	nothing	mouse	three_prime	single_cell	NCH	mm_prim	mousemodel
mousemodel	tibia	S0105	K7M2	40000	15	primary	yes	nothing	mouse	three_prime	single_cell	NCH	mm_prim	mousemodel
mousemodel	tibia	F331	F331	5000	20	primary	yes	nothing	mouse	three_prime	single_cell	SJ	mm_prim	mousemodel
mousemodel	lung	S0246	F420	30000	20	metastatic	yes	nothing	mouse	three_prime	single_cell	NCH	mm_mets	mousemodel
mousemodel	lung	S0123	K7M2	30000	20	metastatic	yes	nothing	mouse	three_prime	single_cell	NCH	mm_mets	mousemodel
mousemodel	lung	S0122	K7M2	55000	20	metastatic	yes	nothing	mouse	three_prime	single_cell	NCH	mm_mets	mousemodel
mousemodel	lung	S0067	F420	60000	20	metastatic	yes	nothing	mouse	three_prime	single_cell	NCH	mm_mets	mousemodel
mousemodel	lung	S0068	F420	50000	20	metastatic	yes	nothing	mouse	three_prime	single_cell	NCH	mm_mets	mousemodel
mousemodel	lung	S0075	K7M2	90000	20	metastatic	yes	nothing	mouse	three_prime	single_cell	NCH	mm_mets	mousemodel
mousemodel	lung	S0291	F420	25000	10	metastatic	yes	nothing	mouse	three_prime	single_nucleus	NCH	mm_mets	mousemodel
mousemodel	lung	S0282	F420	15000	10	metastatic	yes	nothing	mouse	three_prime	single_cell	NCH	mm_mets	mousemodel
mousemodel	cc_tumor	S0200	F420	70000	15	primary	yes	nothing	mouse	three_prime	single_cell	NCH	mm_mets	mousemodel_CL
mousemodel	cc_tumor	S0201	K7M2	70000	15	primary	yes	nothing	mouse	three_prime	single_cell	NCH	mm_mets	mousemodel_CL
canine	femur	GSM8001766	spontaneous1	80000	20	primary	yes	nothing	dog	three_prime	single_cell	CSU	dogs_prim	patient
canine	femur	GSM8001767	spontaneous2	80000	20	primary	yes	nothing	dog	three_prime	single_cell	CSU	dogs_prim	patient
canine	humerus	GSM8001768	spontaneous3	60000	20	primary	yes	nothing	dog	three_prime	single_cell	CSU	dogs_prim	patient
canine	humerus	GSM8001769	spontaneous4	60000	20	primary	yes	nothing	dog	three_prime	single_cell	CSU	dogs_prim	patient
canine	femur	GSM8001770	spontaneous5	80000	20	primary	yes	nothing	dog	three_prime	single_cell	CSU	dogs_prim	patient
canine	radius	GSM8001771	spontaneous6	80000	20	primary	yes	nothing	dog	three_prime	single_cell	CSU	dogs_prim	patient
canine	radius	GSM8001773	spontaneous7	80000	20	primary	yes	nothing	dog	three_prime	single_cell	CSU	dogs_prim	patient
canine	radius	GSM8001772	spontaneous8	50000	20	primary	yes	nothing	dog	three_prime	single_cell	CSU	dogs_prim	patient
canine	tibia	T_OS_0046_P1	spontaneous9	25000	20	primary	yes	nothing	dog	three_prime	single_cell	TU	dogs_prim	patient
canine	radius	T_OS_0054_P1	spontaneous10	60000	20	primary	yes	nothing	dog	three_prime	single_cell	TU	dogs_prim	patient
canine	radius	T_OS_0061_P1	spontaneous11	5000	20	primary	yes	nothing	dog	three_prime	single_cell	TU	dogs_prim	patient
canine	tibia	S0032	spontaneous12	100000	20	primary	yes	nothing	dog	three_prime	single_cell	NCH	dogs_prim	patient
canine	lung	S0231	spontaneous13	40000	20	metastatic	yes	nothing	dog	three_prime	single_nucleus	NCH	dogs_mets	patient
canine	Lung	T_OS_0046_M1	spontaneous14	30000	20	metastatic	yes	nothing	dog	three_prime	single_cell	TU	dogs_mets	patient
canine	Lung	T_OS_0050_M1_1	spontaneous15	15000	20	metastatic	yes	nothing	dog	three_prime	single_cell	TU	dogs_mets	patient
canine	Lung	T_OS_0050_M1_2	spontaneous16	6000	20	metastatic	yes	nothing	dog	three_prime	single_cell	TU	dogs_mets	patient
canine	Lung	T_OS_0059_M1_1n	spontaneous17	20000	20	metastatic	yes	nothing	dog	three_prime	single_cell	TU	dogs_mets	patient
canine	Lung	T_OS_0059_M1_2	spontaneous18	60000	20	metastatic	yes	nothing	dog	three_prime	single_cell	TU	dogs_mets	patient
canine	Lung	T_OS_0061_M1_1	spontaneous19	20000	20	metastatic	yes	nothing	dog	three_prime	single_cell	TU	dogs_mets	patient
canine	Lung	T_OS_0061_M1_2	spontaneous20	25000	20	metastatic	yes	nothing	dog	three_prime	single_cell	TU	dogs_mets	patient
canine	Lung	OSLM1	spontaneous21	50000	20	metastatic	yes	nothing	dog	three_prime	single_cell	CSU	dogs_mets	patient
canine	Lung	OSLM2	spontaneous22	50000	20	metastatic	yes	nothing	dog	three_prime	single_cell	CSU	dogs_mets	patient
canine	Lung	OSLM3	spontaneous23	60000	20	metastatic	yes	nothing	dog	three_prime	single_cell	CSU	dogs_mets	patient
canine	Lung	OSLM4	spontaneous24	60000	20	metastatic	yes	nothing	dog	three_prime	single_cell	CSU	dogs_mets	patient
canine	Lung	OSLM5	spontaneous25	60000	20	metastatic	yes	nothing	dog	three_prime	single_cell	CSU	dogs_mets	patient
canine	Lung	OSLM6	spontaneous26	60000	20	metastatic	yes	nothing	dog	three_prime	single_cell	CSU	dogs_mets	patient
canine	Lung	OSLM7	spontaneous27	50000	20	metastatic	yes	nothing	dog	three_prime	single_cell	CSU	dogs_mets	patient
canine	Lung	OSLM8	spontaneous28	50000	20	metastatic	yes	nothing	dog	three_prime	single_cell	CSU	dogs_mets	patient
